CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
0,1,1,97.5,8200,0,14000,0,37.05,17.13,2.4,1,59,0
0,0,0,0,0,0,15000,15.5,88.5,17.14,0,754,506,0
0,399,14,90.3,4995,-105,16000,48.3,162.5,16.58,9.6,113,220,21
-1,320,8,84,4161,-183.1,17000,9.5,222.7,14.88,15.9,30,487,16
-5,405,24,76.1,3440,-62.6,18000,9.7,366.25,14.09,23.8,77,1303,15
-1,17,3,71.6,3080,-80,18500,0,0,0,28.3,0,0,0
3,514,24,66.9,2732.1,-134.1,19000,9.65,586,13.38,33,75,1527,42
12,335,32,57.1,2050,-116.65,20000,13.8,878.15,12.43,42.8,123,908,27
31,195,45,47.3,1461,-92.7,21000,14,1252,11.16,52.6,44,51,39
4,105,9,38.2,990,-50,22000,9,1750,9.68,61.7,10,50,7
1,67,18,30,675,-23.5,23000,0,2490,9.14,69.9,1,1,0
