OI_Change_C,OI_C,Volume_C,ITM_Prob_C,IV_C,LTP_C,CHANGE_C,STRIKE,CHANGE_P,LTP_P,IV_P,ITM_Prob_P,Volume_P,OI_P,OI_Change_P
0,16,1,100,0,8800,397.95,11000,0,2.05,32.03,0,1,5.5,0
0,0,0,0,0,0,0,12000,-2.1,3.05,28.79,0,1,245,0
0,35,7,100,41,7164,0,13000,0,9.05,27.86,0,124,636,0
0,0,0,0,0,0,0,14000,0.65,18.6,25.99,0,129,2409,6
0,0,0,0,0,0,0,14500,-2.15,3.35,19.08,0,1,1157,0
-5,1207,12,99.9,27.77,5140,-95.55,15000,0.65,25.55,22.68,0.1,576,6310,-79.5
-7,1458,62,99.1,25.63,4190.9,-123.05,16000,-0.85,34.95,19.36,0.8,777,12935,218
0,83,1,98.1,29.3,3850,0,16500,0,0,0,1.8,0,0,0
288,4437,525,96,23.38,3269.3,-114.55,17000,0.15,61.6,16.86,3.9,2235,22434,-160
-53,3516,189,92.6,22.45,2830.7,-120.15,17500,4.4,84.9,15.71,7.3,1170,10862,110
-160,18271.5,1301,87.5,20.58,2374.25,-127.7,18000,10.4,118.45,14.58,12.4,5511,64070,56
-37,4013,290,80.5,18.23,1909.25,-137.05,18500,0,0,0,19.4,0,0,0
-187,22542,1475,71.8,17.79,1542.85,-116.1,19000,28.25,249.3,12.59,28.1,7826,31964,218
-125,32394,4084,51.3,15.27,837.45,-100.05,20000,42.9,508.65,10.25,48.6,5691,15323,253
73,21032,4495,31.4,13.17,339.45,-52.5,21000,76.75,967.45,5.26,68.5,1523,4246,115
-48,6297,2040,16.3,12.26,107.8,-22.65,22000,124.3,1706.2,0,83.6,144,483,24
260,1792,662,7.3,13.62,54,-6.45,23000,94.2,2555,0,92.6,4,49,0
36,974,372,2.8,15.25,33.15,-3.15,24000,0,0,0,97.1,0,0,0
6,9,7,0.9,17.17,25.1,3.75,25000,0,0,0,99,0,0,0
